Pipeline,Mode,Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
pipeline2_organic_bipia,user_intent_only,XGBoost,0.9975714285714286,0.9975773122416988,0.9999992448979592,0.999999245542622,10.137294292449951,0.0139908790588378,14000,OPENAI,0.0009993485042027
pipeline2_organic_bipia,user_intent_only,RandomForest,0.9966428571428572,0.9966334789771506,0.999983551020408,0.999983479215972,5.361876487731934,0.0742907524108886,14000,OPENAI,0.0053064823150634
pipeline2_organic_bipia,user_intent_only,XGBoost,0.997,0.9970089730807578,0.9999824897959184,0.9999818110390964,21.763423442840576,0.092059850692749,14000,QWEN3,0.0065757036209106
pipeline2_organic_bipia,user_intent_only,XGBoost,0.9955714285714286,0.9955909543450434,0.9999807551020408,0.9999803348867644,3.5639307498931885,0.0028884410858154,14000,MINILM,0.0002063172204153
pipeline2_organic_bipia,user_intent_only,RandomForest,0.9975714285714286,0.9975679542203147,0.9999782857142856,0.9999781827296206,6.854264974594116,0.1380460262298584,14000,QWEN3,0.0098604304449898
pipeline2_organic_bipia,user_intent_only,LightGBM,0.9932857142857144,0.9933219664677464,0.9998564081632652,0.9998553237843726,5.17360782623291,0.011279821395874,14000,OPENAI,0.0008057015282767
pipeline2_organic_bipia,context_only,SVM,0.9936428571428572,0.9936541889483066,0.9997386734693876,0.9997354223705536,21.71107625961304,1.65016508102417,14000,QWEN3,0.1178689343588692
pipeline2_organic_bipia,user_intent_only,RandomForest,0.9907857142857144,0.99074671831289,0.999712163265306,0.999711988433147,2.61393141746521,0.0476031303405761,14000,MINILM,0.0034002235957554
pipeline1_alamsabi,context_only,SVM,0.9946428571428572,0.9946470630219112,0.9996569591836736,0.9996087008255004,16.858882427215576,0.4666051864624023,14000,OPENAI,0.0333289418901716
pipeline2_organic_bipia,normal,SVM,0.9935,0.9935134364530616,0.999648224489796,0.9996011199127182,23.706743001937863,1.6434130668640137,14000,QWEN3,0.1173866476331438
pipeline2_organic_bipia,user_intent_only,LightGBM,0.9936428571428572,0.9936758331556882,0.9996272653061224,0.9995952550632052,9.268644332885742,0.0993988513946533,14000,QWEN3,0.0070999179567609
pipeline1_alamsabi,context_only,LogisticRegression,0.9948571428571428,0.9948608137044967,0.9995760612244896,0.9995263828576456,5.719059467315674,0.0890560150146484,14000,OPENAI,0.0063611439296177
pipeline2_organic_bipia,context_only,LogisticRegression,0.9905714285714284,0.9905982905982906,0.9995288979591838,0.9995109880487754,9.81700849533081,0.5911600589752197,14000,QWEN3,0.0422257184982299
pipeline1_alamsabi,normal,SVM,0.9935714285714284,0.9935750999428896,0.9994166734693878,0.9993433557013948,17.424310207366943,0.5066506862640381,14000,OPENAI,0.0361893347331455
pipeline1_alamsabi,normal,LogisticRegression,0.9931428571428572,0.9931457946594316,0.9993425306122448,0.9992507158103564,6.950604677200317,0.083010196685791,14000,OPENAI,0.0059292997632707
pipeline2_organic_bipia,normal,LogisticRegression,0.9902857142857144,0.9903120102578716,0.9993349591836737,0.9992337381219496,12.059370040893556,0.6656973361968994,14000,QWEN3,0.0475498097283499
pipeline2_organic_bipia,user_intent_only,SVM,0.9945,0.9945261960617048,0.9992437346938776,0.9991075407673436,331.8006100654602,1.6398627758026123,14000,QWEN3,0.1171330554144723
pipeline2_organic_bipia,user_intent_only,LightGBM,0.988,0.9880749574105622,0.9990950816326531,0.9990490503745668,1.6206207275390625,0.0100212097167968,14000,MINILM,0.0007158006940569
pipeline2_organic_bipia,user_intent_only,LogisticRegression,0.9935714285714284,0.9936106772682096,0.998920836734694,0.9987789227349592,9.99985647201538,0.6352131366729736,14000,QWEN3,0.0453723669052124
pipeline2_organic_bipia,context_only,XGBoost,0.9832142857142856,0.9833581191133772,0.9988465306122448,0.9988389697722924,23.46151375770569,0.1043949127197265,14000,QWEN3,0.0074567794799804
