Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.505,0.5117655347329858,0.5060532857142856,0.5048787084044468,7.650475740432739,0.08402204513549805,14000,MINILM,0.006001574652535575
LightGBM,0.5018571428571429,0.5097019122609674,0.5046884183673469,0.5019396049991574,8.187385320663452,0.09376716613769531,14000,QWEN3,0.006697654724121094
LogisticRegression,0.5017857142857143,0.5130210151504573,0.5030174897959184,0.5022756478821235,10.418513059616089,0.0870516300201416,14000,OPENAI,0.006217973572867257
XGBoost,0.503,0.5054023315325562,0.5020088265306123,0.5013387944338421,14.387357950210571,0.09146404266357422,14000,QWEN3,0.006533145904541016
RandomForest,0.5005714285714286,0.4938468220645722,0.5016154183673469,0.4988535341561141,9.239536046981812,0.18977093696594238,14000,QWEN3,0.013555066926138741
RandomForest,0.5008571428571429,0.5003575003575004,0.5013207244897959,0.499496518706821,6.848780632019043,0.07386136054992676,14000,OPENAI,0.005275811467851912
SVM,0.4987142857142857,0.5090934527140459,0.49725448979591835,0.49988813214825295,146.26707291603088,1.6855072975158691,14000,QWEN3,0.12039337839399065
SVM,0.49807142857142855,0.5043380122734006,0.4972358469387755,0.49933756124987894,55.98235630989075,0.4859023094177246,14000,OPENAI,0.03470730781555176
LightGBM,0.4967857142857143,0.5064107055279199,0.49690763265306126,0.4945594436022067,1.2821776866912842,0.004201412200927734,14000,MINILM,0.0003001008714948382
LogisticRegression,0.4977142857142857,0.5083892617449665,0.4967156326530612,0.4997389594361721,29.940006494522095,0.6598894596099854,14000,QWEN3,0.047134961400713236
XGBoost,0.4967142857142857,0.5215915263443781,0.49509608163265306,0.49655711698294913,6.906205415725708,0.00461888313293457,14000,OPENAI,0.0003299202237810408
LogisticRegression,0.49635714285714283,0.5026451294350004,0.49506823469387756,0.4966128250496793,1.282470464706421,0.02372598648071289,14000,MINILM,0.0016947133200509207
RandomForest,0.4987142857142857,0.4904153354632588,0.4946227653061224,0.4974643320012616,3.8091490268707275,0.04869866371154785,14000,MINILM,0.003478475979396275
XGBoost,0.49942857142857144,0.5010679196924391,0.49426634693877547,0.4927750364069786,2.8455252647399902,0.0028820037841796875,14000,MINILM,0.00020585741315569197
LightGBM,0.4972857142857143,0.5092734625575234,0.4936167959183674,0.49590605926923503,4.130718469619751,0.0069122314453125,14000,OPENAI,0.0004937308175223214
